DC3ZR,JN68CV,N,,,01/03
DC5JQ,JO31BC,N,,,10/07
DC6DY,JO53GO,N,,,06/09
DC6GF,JN48OC,N,,IC 706 MKIIG PreAmp,01/05
DC6KI,JO30IL,N,NOT qrv MS nw (01/01),,04/05
DC6RN,JN59WK,N,,144: 12el  PA GS35,04/09
DC7OH,JO62OK,N,,,01/01
DC7UT,JO31NJ,Y,,144: 4x17el  500W,03/01
DC9UP,JN39QN,Y,F5VKQ,,01/09
DC9YC,JO31QK,N,,,10/07
DD0NM,JN59NI,N,,144: IC 910 100W 2x11 el Yagi,08/07
DD0VF,JO60UX,Y,,144: 550W-CW 250W-digi 4x8el MGF1303 (JO61WA: 100W 5el BF998),06/09
DD1JN,JO50DJ,N,,144: 600W 11el Preamp - 432: 21el 200W VV - 1296: 55el 10W VV - 2320: 80el 1W,04/02
DD1WKS,JN39KK,N,,,01/01
DD2KR,JO30FQ,Y,,FT1000 144:  LT2S 3CX800A7 Preamp  17ele M2  432: LT70S 3CX800A7 Preamp 2x39el M2,10/07
DD2UJ,JO61WD,N,,,10/04
DD3DX,JO31TN,N,,,07/01
DD3SP,JO72EN,N,,50: 5el - 144:  FT847  4CX250  17el F9FT MGF1302 - 432: 21el,02/04
DD5DX,JO61CA,N,,144: 180Watt 2x17el Preamp,07/04
DD6UBS,JO41AH,N,,144: TM255 MGF1302 180W 11El F9FT - 432: TM455 MGF1302 40W,10/04
DD7PC,JN49AX,Y,,,05/07
DD9SQ,JN59BH,N,,,07/98
DF0AK,JN49EA,N,,,07/97
DF0AW,JO31MG,Y,,FT736 144: 800W 2x 11el  432: 200W 4x 23el  1296: 23el 10W,09/07
DF0BV,JN68AH,Y,,144: 2x17el 750W,04/05
DF0CI,JO51CH,N,,,11/03
DF0CK,JO50AN,Y,,144: 500Watt 2x11el,09/05
DF0EME,JO40,N,,,01/03
DF0LBO,JO53CT,N,,,05/02
DF0MMO,JN49JX,N,,144: 200W 11el,11/00
DF0MTL,JO61JF,N,,,07/05
DF0SAX,JO61VC,N,,144: 20W 13el,12/98
DF0SL,JN59OI,N,,,08/08
DF0WD,JO42FD,N,,144: 8874 250W 2x9el - 432: 3CX800 4x18el,02/08
DF0WF,JO62VT,N,,,01/05
DF1AN,JO63SX,N,ex DL1KUS,,01/00
