394,DF7OG,JO52BN,,,144: TS770E  4x150  16el,04/04
395,DF7RG,JN68HG,EME,,,01/05
396,DF8AA,JO60XX,,ex DL2VAA,144: 100W 17el,12/99
397,DF8AE,JO41GX,,,,10/04
398,DF8IK,JO30JT,,,144: 300W 11el  432: 400W 27el,01/05
399,DF8LC,JO53GX,EME,,,08/99
400,DF8PC,JO43RS,EME,,144: 100W 16el M2,03/06
401,DF9CY,JO54AL,EME,,IC820H + 400w + 1x9ele 2.5wl full elevation + MGF1302,10/08
402,DF9IJ,JN48CX,,,,01/03
403,DF9KT,JO30GU,,,,11/95
404,DF9KX,JO30FQ,EME,,FT1000 144:  LT2S 3CX800A7 Preamp  17ele M2  432: LT70S 3CX800A7 Preamp 2x39el M2,10/07
405,DF9QT,JO30OR,,,144: 700W  11Ele,07/08
406,DF9QX,JO42HD,EME,,,01/94
407,DF9RJ,JN68GS,EME,,144Mhz: 1.8KW 4x17Ele.  -  432Mhz: 1KW 4x21Ele.  -  10Ghz: 5W 60cm Spiegel,03/06
408,DF9YF,JO42GE,,,,12/03
409,DG0CAL,JO31,,,,06/00
410,DG0FE,JO62UN,EME,,FT736r  50: 25 watt 1x4el  - 144:  500W 4x17el - 432: 25 watt 2x21el - 1296: 10 watt 2x35el,04/08
411,DG0KU,JO64AC,,,,01/03
412,DG0KW,JO64MH,EME,,144: 2x 13el,01/05
413,DG0OPK,JO50GQ,EME,,50MHZ Dipol - 144: 400W 17dBd MGF1302,12/08
414,DG0TU,JO61TU,,,,08/97
415,DG0WJ,JO60CV,,,,11/02
416,DG1BA,JO43LB,,,,01/00
417,DG1BHA,JO73DB,,,,09/07
418,DG1CMZ,JO60DS,,,,08/01
419,DG1IU,JN49FA,,,,08/96
420,DG1LY,JO44RK,,,,03/04
421,DG1TA,JN69GH,,,,02/01
422,DG1VL,JO61WE,EME,Y91VL,144: 150W 9el MGF1302,05/09
423,DG1YBO,JO32RG,,,144: FT225RD 80W 9el,09/04
424,DG2BCP,JO43DC,EME,,144: 4x 3.6l DJ9BV+GS35 Pa 432: 4x 11l DJ9BV,03/06
425,DG2DAA,JO62GU,,,,06/02
426,DG2GEP,JN48DL,,,144:  200W 9ele Yagi,04/03
427,DG2KBC,JN58MI,EME,,2x7ele FT847 GS35b LNA,06/09
428,DG2NBN,JN59NR,,,FT847 144: 200W 2x3wl 9BV MGF1302 - 432: 300W  22el MGF1302,08/01
429,DG2NZM,JN59IV,,,,06/03
